Population,Behavior,Hr38_Ratio
P1a,deadM,1.289850190463226
P1a,deadM,1.2715798169831558
P1a,deadM,1.1449395772165385
P1a,deadM,1.1219275208235053
P1a,deadM,1.2101572236264935
P1a,deadM,1.2880832916751526
P1a,deadM,1.0809921900088364
P1a,deadM,1.2229547447224658
P1a,deadM,1.004097007261392
P1a,deadM,1.0189067559409473
P1a,deadM,1.4076552281681083
P1a,deadM,0.8504766733871779
P1a,deadM,0.9702557490737237
P1a,deadM,1.0593916938755754
P1a,deadM,1.089696991032061
P1a,deadM,1.0092101021205733
P1a,deadM,1.0879540399436864
P1a,deadM,2.5966063406137443
P1a,deadM,1.742533782593893
P1a,deadM,6.4789649788088335
P1a,deadM,5.439792432229358
P1a,deadM,1.9299435293565164
P1a,deadM,1.3290013954443818
P1a,deadM,1.3497866693741278
P1a,deadM,1.270506613974422
P1a,deadM,1.0887245289029137
P1a,deadM,1.3323051704613031
P1a,deadM,1.3285432836747042
P1a,deadM,3.1680386996023517
P1a,deadM,1.0020588285286918
P1a,deadM,5.794552709409845
P1a,deadM,3.5939022885694896
P1a,deadM,1.309868708799627
P1a,deadM,1.4148500523852383
P1a,deadM,1.2986058096145314
P1a,deadM,1.1452178436552063
P1a,deadM,1.1234952960976377
P1a,deadM,1.5733263914954414
P1a,deadM,1.2293882115647685
P1a,deadM,1.0022316748045412
P1a,deadM,2.1628997793288
P1a,deadM,2.2893613515861366
P1a,deadM,1.60821593380903
P1a,deadM,1.2760642190644629
P1a,deadM,5.8801391884138265
P1a,deadM,1.3593263209846078
P1a,deadM,4.204566212401893
P1a,deadM,2.13120958961366
P1a,deadM,1.2272144367889348
P1a,deadM,2.4534640761533817
Tk,NoFood,1.196558324806079
Tk,NoFood,0.9306879419491113
Tk,NoFood,1.0304578545741603
Tk,NoFood,1.661530316889496
Tk,NoFood,1.3285879583693332
Tk,NoFood,0.9759344516145545
Tk,NoFood,1.1179480146212604
Tk,NoFood,1.1125404310273332
Tk,NoFood,1.182313705577392
Tk,NoFood,0.9690153593062473
Tk,NoFood,1.2878881540252787
Tk,NoFood,1.1113479275232758
Tk,NoFood,0.7250643220024856
Tk,NoFood,1.9102303492156094
Tk,NoFood,1.216973457909171
Tk,NoFood,1.415298448285936
Tk,NoFood,0.9069253308847183
Tk,NoFood,1.2123299430479417
Tk,NoFood,1.5320547734350025
Tk,NoFood,1.153580014573663
Tk,NoFood,1.1898388780565943
Tk,NoFood,1.2499415696723226
Tk,NoFood,1.3295367101376179
Tk,NoFood,1.1686434885497499
Tk,NoFood,2.6100568061068
Tk,NoFood,0.9588031168413462
Tk,NoFood,1.0093248937725994
Tk,NoFood,1.1482660622614438
Tk,NoFood,1.4092238900041438
Tk,NoFood,1.464233803842445
P1a,mesh,0.9907051741903506
P1a,mesh,0.9739764231116479
P1a,mesh,1.050462295203225
P1a,mesh,1.0660859572761225
P1a,mesh,1.031247275981136
P1a,mesh,0.9587821290850919
P1a,mesh,1.597591698964325
P1a,mesh,1.3528874301826475
P1a,mesh,0.9172057733397286
P1a,mesh,0.9632117385824424
P1a,mesh,0.8907398574079144
P1a,mesh,1.0637837504511545
P1a,mesh,0.9210647069172214
P1a,mesh,1.2091978368108143
P1a,mesh,1.330055443601015
P1a,mesh,0.874256760760919
P1a,mesh,1.0339889970961818
P1a,mesh,1.2860539537265192
P1a,mesh,0.9766547245384314
P1a,mesh,0.9273088995275989
P1a,mesh,1.0724551994935942
P1a,mesh,1.1513143731142335
P1a,mesh,1.5028973367845053
P1a,mesh,1.3040487191986323
P1a,mesh,1.0032637057994587
P1a,mesh,0.8973398897073797
P1a,mesh,0.9783385288264979
P1a,mesh,1.4555567495987436
P1a,mesh,1.2281175081404085
Tk,mesh,1.1116177964700045
Tk,mesh,1.2457925753889505
Tk,mesh,1.0568047226911133
Tk,mesh,1.0566871382494587
Tk,mesh,0.9465574220594195
Tk,mesh,1.0788831334942761
Tk,mesh,0.9740272692302213
Tk,mesh,1.1745928849249883
Tk,mesh,1.1047554754431508
Tk,mesh,1.1398699951978954
Tk,mesh,0.8909412852268247
Tk,mesh,1.2218219388518061
Tk,mesh,1.0655468793887983
Tk,mesh,1.0422523079227761
Tk,mesh,1.0071573514491154
Tk,mesh,0.9020456898440983
Tk,mesh,1.129157537966032
Tk,mesh,1.1062091215514176
Tk,mesh,1.0291348649800471
Tk,mesh,0.8500912793147029
Tk,mesh,1.4837080695626865
Tk,mesh,0.8963728269624724
Tk,mesh,1.2609545794899797
Tk,mesh,0.9687224444881689
Tk,mesh,1.2198238974573532
Tk,mesh,0.9225123631894407
Tk,mesh,1.0024898114295449
Tk,mesh,1.0420614328209563
Tk,mesh,0.887654152877027
Tk,mesh,1.0615584389903072
Tk,mesh,1.1219086589796692
Tk,mesh,1.078421937195931
Tk,mesh,0.9701229544449358
Tk,mesh,1.0976353495562514
Tk,mesh,1.0427564079963332
Tk,mesh,0.8741165384011307
Tk,mesh,1.0567927050477337
Tk,mesh,1.0973426258502907
Tk,mesh,1.2059038231758472
Tk,mesh,1.012498043991482
Tk,courtship,0.9795585140300246
Tk,courtship,1.2482372330583908
Tk,courtship,1.2008847714798707
Tk,courtship,1.1657492859359837
Tk,courtship,1.332604878199723
Tk,courtship,1.2858106213867355
Tk,courtship,1.4348506512892227
Tk,courtship,1.143817858994705
Tk,courtship,1.2210080869071251
Tk,courtship,1.127533142277227
Tk,courtship,1.6150303831761756
Tk,courtship,1.2208146111310632
Tk,courtship,1.1667413928023416
Tk,courtship,1.100033696381677
Tk,courtship,1.1587085312929217
Tk,courtship,1.1434484642611114
Tk,courtship,1.3346486989512867
Tk,courtship,1.3012187265113284
Tk,courtship,1.3574781705030043
Tk,courtship,1.9376411003738787
Tk,courtship,1.1479349703941055
P1a,aggression,1.471934342756727
P1a,aggression,0.8410730822973491
P1a,aggression,0.8787978829506635
P1a,aggression,0.9372738993393777
P1a,aggression,2.787282792670939
P1a,aggression,1.4018443827127516
P1a,aggression,1.5042570998860998
P1a,aggression,1.0997882387228595
P1a,aggression,2.3727767928870933
P1a,aggression,1.0964709597790605
P1a,aggression,1.1952879530535496
P1a,aggression,1.168857158117756
P1a,aggression,1.563135170363129
P1a,NoFood,1.1128164798753648
P1a,NoFood,1.0781843146757129
P1a,NoFood,1.2193508285837698
P1a,NoFood,1.2802559250247814
P1a,NoFood,1.0424258808687032
P1a,NoFood,0.9915459921572889
P1a,NoFood,1.0340514938281666
P1a,NoFood,1.05564686636727
P1a,NoFood,1.1996503141216333
P1a,NoFood,1.2312252536053871
P1a,NoFood,1.138911899738965
P1a,NoFood,1.0300657410010998
P1a,NoFood,0.8974339913841014
P1a,NoFood,0.8640075610351823
P1a,NoFood,0.9511680490885709
P1a,NoFood,0.928873466338573
P1a,NoFood,2.0714190197348046
P1a,NoFood,1.0339719061925532
P1a,NoFood,1.2463481750845655
P1a,NoFood,2.0720157331031848
P1a,NoFood,1.3764194740806925
P1a,NoFood,1.0035637213169932
P1a,NoFood,1.493737089759581
P1a,NoFood,1.5196700483110444
P1a,NoFood,2.2221497063105575
P1a,NoFood,2.448048021673259
P1a,NoFood,1.1710175188012963
P1a,NoFood,1.3078778379437428
Tk,deadM,2.566929868940927
Tk,deadM,1.5249879056556266
Tk,deadM,2.6165994453118704
Tk,deadM,1.6784689652289955
Tk,deadM,2.3297704255631437
Tk,deadM,0.9829366072944637
Tk,deadM,1.458967047360059
Tk,deadM,1.9740513673284787
Tk,deadM,1.2348687257311817
Tk,deadM,1.4510555758810773
Tk,deadM,1.5201291549715126
Tk,deadM,1.2708810876290693
Tk,deadM,3.0386578297816786
Tk,deadM,1.7666614414036041
Tk,deadM,1.128370554177006
Tk,deadM,4.096124403617461
Tk,deadM,1.0189576025942617
Tk,deadM,0.8800312479020573
Tk,deadM,1.3869735308298394
Tk,deadM,0.9818925276992378
Tk,deadM,1.172698181995835
Tk,deadM,2.5863843273537115
Tk,deadM,1.1480598859548226
Tk,deadM,1.9674978925588165
Tk,deadM,0.9780893748119871
Tk,deadM,1.258085713976657
Tk,deadM,1.368795387982188
Tk,deadM,1.354106322185552
Tk,deadM,1.8403961495430878
P1a,courtship,1.2095165618616575
P1a,courtship,1.926434286546263
P1a,courtship,1.3830787259866906
P1a,courtship,4.258529694889717
P1a,courtship,1.9959350372023097
P1a,courtship,1.3189176378209118
P1a,courtship,1.2344727039423915
P1a,courtship,5.83693245505263
P1a,courtship,8.1383838801201
P1a,courtship,2.6030881457787176
P1a,courtship,1.3166064833115476
P1a,courtship,1.1512716108363992
P1a,courtship,1.576830197687978
P1a,courtship,2.193371445075767
P1a,courtship,1.1619836995399886
P1a,courtship,0.9120844328629618
P1a,courtship,1.1886813490867194
P1a,courtship,1.1939007188657846
P1a,courtship,0.9923670093487188
P1a,courtship,1.4796094328536713
P1a,courtship,6.445294872285169
P1a,courtship,3.070468431771894
P1a,courtship,1.3409165950542614
P1a,courtship,2.5313667275680065
P1a,courtship,8.546583836387564
P1a,courtship,1.3889542716277974
P1a,courtship,8.2810996818687
P1a,courtship,1.5930643735433576
P1a,courtship,3.512920919392429
P1a,courtship,1.7450012054970667
P1a,courtship,9.598304170661551
P1a,courtship,1.738935742088712
P1a,courtship,1.378244336136254
P1a,courtship,1.763177694500311
aSP2,deadM,1.3818579434900466
aSP2,deadM,2.6127943128468725
aSP2,deadM,1.1777279707798944
aSP2,deadM,1.227273519012036
aSP2,deadM,1.1954221852476274
aSP2,deadM,1.17590283284077
aSP2,deadM,3.101480859108334
aSP2,deadM,1.7561401038733497
aSP2,deadM,2.331355288691397
aSP2,deadM,3.0474491661907845
aSP2,deadM,1.191653038747789
aSP2,deadM,1.8535472341132955
aSP2,deadM,1.728478826590963
aSP2,deadM,1.0552687987653262
aSP2,deadM,2.5789386230743063
aSP2,deadM,2.2742407217028875
aSP2,deadM,1.3768367325177189
aSP2,deadM,2.917760271338848
aSP2,deadM,1.4984571359616612
aSP2,deadM,5.669100927955425
aSP2,deadM,1.967933363106113
aSP2,deadM,6.372232345513251
aSP2,deadM,3.4760382116406925
P1a,deadM,2.074077523711949
P1a,deadM,1.0580742602047635
P1a,deadM,1.1295908183632735
P1a,deadM,6.019046480244615
P1a,deadM,1.3441018235722593
P1a,deadM,1.082215506635292
P1a,deadM,1.2032094269514886
P1a,deadM,1.0657254954562223
P1a,deadM,8.98000867790509
P1a,deadM,1.0391506213300559
P1a,deadM,7.3240274197328326
P1a,deadM,1.3875935353449829
P1a,deadM,12.92209790398553
P1a,deadM,0.9573196465767224
P1a,deadM,1.4952475969790595
P1a,deadM,0.9843838389853216
P1a,deadM,2.8238411425707843
P1a,deadM,2.6753529316144196
P1a,deadM,1.2491095410486979
P1a,deadM,1.0963044237195152
P1a,deadM,7.3979440778095995
P1a,deadM,5.468172093432197
P1a,deadM,1.8508422253540031
P1a,deadM,8.787084271067767
P1a,deadM,1.5142665630760324
P1a,deadM,1.5680242288993385
P1a,deadM,1.8933771782320044
P1a,deadM,0.9220414960620062
P1a,deadM,5.558261033065621
P1a,deadM,2.591865087552786
P1a,deadM,2.1792904567098113
P1a,deadM,5.035648907752179
P1a,deadM,1.7988836014555993
P1a,deadM,1.1612240924618136
P1a,deadM,0.883552503724817
P1a,deadM,1.670093016436705
P1a,deadM,2.0013088165475468
P1a,deadM,1.0
P1a,deadM,1.8127213377267268
P1a,deadM,2.569237084562289
P1a,deadM,1.9821739940072116
P1a,deadM,2.118026991757107
P1a,deadM,2.2782477163920465
P1a,deadM,1.533500381305153
P1a,deadM,1.9722651195792813
P1a,deadM,4.147546539495026
P1a,deadM,3.3874704772460382
P1a,deadM,0.9560517920810658
P1a,deadM,3.396031571420714
P1a,deadM,2.250979532917462
P1a,deadM,0.9637197714668997
P1a,deadM,1.1377228248501856
P1a,deadM,1.7020255674776017
P1a,deadM,2.402729760875828
